sample,condition,Instrument
NS_SRR7543029,NS,Illumina HiSeq 2000
NS_SRR7543030,NS,Illumina HiSeq 2000
NS_SRR7543031,NS,Illumina HiSeq 2000
NS_SRR7543032,NS,Illumina HiSeq 2000
NS_SRR7543033,NS,Illumina HiSeq 2000
NS_SRR7543034,NS,Illumina HiSeq 2000
NS_SRR7543035,NS,Illumina HiSeq 2000
NS_SRR7543036,NS,Illumina HiSeq 2000
NS_SRR7543037,NS,Illumina HiSeq 2000
PS_SRR7543038,PS,Illumina HiSeq 2000
PS_SRR7543039,PS,Illumina HiSeq 2000
PS_SRR7543040,PS,Illumina HiSeq 2000
PS_SRR7543041,PS,Illumina HiSeq 2000
PS_SRR7543042,PS,Illumina HiSeq 4000
PS_SRR7543043,PS,Illumina HiSeq 4000
PS_SRR7543044,PS,Illumina HiSeq 4000
PS_SRR7543045,PS,Illumina HiSeq 4000
