sample,PC1,PC2,condition,sample
NS_SRR7543029,-17.939953674649622,-80.40660681290179,NS,NS_SRR7543029
NS_SRR7543030,-46.43429635804001,-88.69120002918952,NS,NS_SRR7543030
NS_SRR7543031,-50.2149391974211,-19.778602519190823,NS,NS_SRR7543031
NS_SRR7543032,-41.1425002971102,0.4392662811466862,NS,NS_SRR7543032
NS_SRR7543033,-50.92092752411012,-6.582867373742943,NS,NS_SRR7543033
NS_SRR7543034,22.832173787664946,-83.29035125008643,NS,NS_SRR7543034
NS_SRR7543035,-105.92662148559475,138.7799826931508,NS,NS_SRR7543035
NS_SRR7543036,-67.72080893716608,84.93184939113273,NS,NS_SRR7543036
NS_SRR7543037,-33.24237267590693,-64.00164031614703,NS,NS_SRR7543037
PS_SRR7543038,101.49111575177332,46.90600557801264,PS,PS_SRR7543038
PS_SRR7543039,135.6603577114,48.58107999994644,PS,PS_SRR7543039
PS_SRR7543040,83.26126741887612,29.25857032325964,PS,PS_SRR7543040
PS_SRR7543041,70.29750548028294,-6.145485965389606,PS,PS_SRR7543041
